"SETTORE/UNITA' DI STAFF/PROGETTI/QUARTIERI","CODICE CDR",RESPONSABILI,AREA/DIPARTIMENTO
Quartiere San Donato - San Vitale,075,Dott.ssa Gessica Frigato,"DIPARTIMENTO SEGRETERIA GENERALE, PARTECIPATE, APPALTI, SPORT E QUARTIERI"
Quartiere Santo Stefano,076,Dott.ssa Antonella Sava,"DIPARTIMENTO SEGRETERIA GENERALE, PARTECIPATE, APPALTI, SPORT E QUARTIERI"
Quartiere Porto - Saragozza,078,Dott. Massimiliano Danielli,"DIPARTIMENTO SEGRETERIA GENERALE, PARTECIPATE, APPALTI, SPORT E QUARTIERI"
Quartiere Savena,079,Dott. Paolo Ricci,"DIPARTIMENTO SEGRETERIA GENERALE, PARTECIPATE, APPALTI, SPORT E QUARTIERI"
"Dipartimento Lavori Pubblici, Verde e Mobilita' - Lavori Pubblici con finanziamenti europei",080,Arch. Manuela Faustini Fustini,"DIPARTIMENTO LAVORI PUBBLICI, VERDE E MOBILITA'"
"Settore Edilizia Pubblica - Progetti speciali edilizia",081,Arch. Manuela Faustini Fustini,"DIPARTIMENTO LAVORI PUBBLICI, VERDE E MOBILITA'"
"Settore Mobilità Sostenibile e Infrastrutture-Progetto integrato per la mobilità bolognese - P.I.M.BO.",082,Arch. Giovanni Ginocchini,"DIPARTIMENTO LAVORI PUBBLICI, VERDE E MOBILITA'"
"Settore Mobilità Sostebibile e Infrastrutture - People Mover",083,Arch. Giovanni Ginocchini,"DIPARTIMENTO LAVORI PUBBLICI, VERDE E MOBILITA'"
"Dipartimento Lavori Pubblici, Verde e Mobilita'-Progettazioni speciali e azioni di mobility management",084,Arch. Manuela Faustini Fustini,"DIPARTIMENTO LAVORI PUBBLICI, VERDE E MOBILITA'"
"Settore Edulizia pubblica -Progetti trasversali",085,Arch. Manuela Faustini Fustini,"DIPARTIMENTO LAVORI PUBBLICI, VERDE E MOBILITA'"
Settore Politiche abitative,404,Dott. Marco Guerzoni,"DIPARTIMENTO URBANISTICA, CASA E AMBIENTE"
Settore Transizione Ecologica e Ufficio Clima,465,Dott. Claudio Savoia,"DIPARTIMENTO URBANISTICA, CASA E AMBIENTE"
